model,model_label,ablation,horizon,task,auprc,auroc,f1,precision,recall,positive_rate,threshold,runnable_status,note
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,classification,0.4701631794611201,0.7975311109561158,0.3609001794836394,0.22145035581158928,0.9746457867263236,0.1721879815100154,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,classification,0.4482319168951361,0.7826502814725056,0.3979639055992596,0.524390243902439,0.32065622669649513,0.1721879815100154,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,classification,0.4661818565647977,0.794320989003782,0.4784014105201293,0.3947623666343356,0.6070096942580164,0.1721879815100154,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,classification,0.4661956373832715,0.7943549665042571,0.4784843589367014,0.3947177126241822,0.6073825503355704,0.1721879815100154,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,classification,0.4578140490499537,0.7891619609997286,0.4583490388239729,0.4634146341463415,0.453392990305742,0.1721879815100154,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,1,classification,0.466284088952656,0.7943591594724008,0.4787077826725404,0.3948643410852713,0.6077554064131245,0.1721879815100154,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
event_attention_only,Event-attention-only,event_only_baseline,1,classification,0.2573363105142784,0.6358096742937046,0.3309782067867449,0.2257363920184607,0.6200596569724086,0.1721879815100154,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
hawkes_only,Hawkes-only,event_only_baseline,1,classification,0.2465370607228321,0.6313718078933522,0.3273505068353017,0.2180646760004956,0.6562266964951529,0.1721879815100154,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
ridge_logistic,Ridge/Logistic,baseline,1,classification,0.4709154644267547,0.7946072819769342,0.47744,0.41816143497757846,0.5563012677106637,0.1721879815100154,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,1,classification,0.4756159019684067,0.7971070139161431,0.4800586510263929,0.3956017399710005,0.610365398956003,0.1721879815100154,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,classification,0.3990124607163398,0.7587414638843314,0.3481075697211155,0.5197026022304833,0.2616997379258705,0.1722114764667956,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,classification,0.3869772503163341,0.7527301150273691,0.4009638554216867,0.2699896157840083,0.7787345563459378,0.1722114764667956,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,classification,0.3759664429363864,0.7429968662089304,0.1475195822454308,0.5750636132315522,0.08461250467989517,0.1722114764667956,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,classification,0.3758925562635341,0.7429473808464936,0.147615937295885,0.578005115089514,0.08461250467989517,0.1722114764667956,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,classification,0.3419342480857568,0.7235863129844489,0.3120758249473437,0.18493863116288745,0.9985024335454886,0.1722114764667956,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,3,classification,0.3752252312690154,0.7427137761096159,0.146771037181996,0.569620253164557,0.08423811306626731,0.1722114764667956,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
event_attention_only,Event-attention-only,event_only_baseline,3,classification,0.2493743609845536,0.6328211768424017,0.3309769802428856,0.21834269998804257,0.6836390864844627,0.1722114764667956,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
hawkes_only,Hawkes-only,event_only_baseline,3,classification,0.2330633612476514,0.6229556268516733,0.3264614515673538,0.21805835010060362,0.6491950580307001,0.1722114764667956,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
ridge_logistic,Ridge/Logistic,baseline,3,classification,0.3408827762249638,0.7231099762753117,0.3200962695547533,0.19069467345329413,0.9958816922500936,0.1722114764667956,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,3,classification,0.3364579474074565,0.725624500462471,0.2117579908675799,0.44537815126050423,0.1388992886559341,0.1722114764667956,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,classification,0.334352494123628,0.7167180249285747,0.3313206577595067,0.19956666408728624,0.9750472589792061,0.1716306534293686,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,classification,0.3195019565090638,0.7177823773983766,0.3317960543171919,0.199737795943549,0.9792060491493384,0.1716306534293686,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,classification,0.3203370199538808,0.7131117420534874,0.3893826567379294,0.28533708854074985,0.6128544423440454,0.1716306534293686,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,classification,0.3203070698397927,0.713087220396096,0.3891619709866922,0.284936797752809,0.6136105860113421,0.1716306534293686,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,classification,0.3025992485917783,0.6842220607846871,0.3032750112157918,0.3728626585769443,0.2555765595463138,0.1716306534293686,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,6,classification,0.3181085927303725,0.7126539452177881,0.3887303851640513,0.28350962372117217,0.6181474480151229,0.1716306534293686,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
event_attention_only,Event-attention-only,event_only_baseline,6,classification,0.2145840674296705,0.6165183718448726,0.3522751548814355,0.24549650141432186,0.6234404536862004,0.1716306534293686,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
hawkes_only,Hawkes-only,event_only_baseline,6,classification,0.2939808803788531,0.6326213859060292,0.3183384191357417,0.2151982965131754,0.6113421550094518,0.1716306534293686,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
ridge_logistic,Ridge/Logistic,baseline,6,classification,0.3087408428583595,0.6909431272280132,0.3151598803772716,0.40246768507638075,0.2589792060491493,0.1716306534293686,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,6,classification,0.2840328473000734,0.6829927202070006,0.3625122669283611,0.2447978793903247,0.6982986767485823,0.1716306534293686,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,classification,0.3769374364871188,0.7526176344353243,0.333677286211789,0.2007137869501125,0.988536492166603,0.172023926904621,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,classification,0.3776825586332955,0.7499409350858696,0.3212792127921279,0.191453492633585,0.9980894153611005,0.172023926904621,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,12,classification,0.3728340823172929,0.7463367922054457,0.3243377689342122,0.19368733754177497,0.9965609476499809,0.172023926904621,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,12,classification,0.3728623771114077,0.7463356394233518,0.3243176024373562,0.19367295410663896,0.9965609476499809,0.172023926904621,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,12,classification,0.3640807013567663,0.7382046729417652,0.3633462502849328,0.45028248587570624,0.30454719144058084,0.172023926904621,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,12,classification,0.373211325412939,0.7464560141430587,0.3239550338488293,0.19341441708691784,0.9965609476499809,0.172023926904621,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
event_attention_only,Event-attention-only,event_only_baseline,12,classification,0.2404773822250852,0.6332159538246458,0.3395604395604396,0.23831559463211477,0.5903706534199465,0.172023926904621,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
hawkes_only,Hawkes-only,event_only_baseline,12,classification,0.2466854388771079,0.6106923512179991,0.3220716164272709,0.21901224377493467,0.6083301490256018,0.172023926904621,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
ridge_logistic,Ridge/Logistic,baseline,12,classification,0.3806314604990443,0.7413022287646314,0.333852544132918,0.20107888359002424,0.9828047382499044,0.172023926904621,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,12,classification,0.395853059279166,0.7419983271311634,0.3347868532378782,0.201757138374647,0.9828047382499044,0.172023926904621,0.5,run,Degradation labels are weak labels derived from train-only KPI thresholds.
