model,model_label,ablation,horizon,task,primary_mae,primary_rmse,primary_mape_floor1_pct,all_kpi_mae,all_kpi_rmse,all_kpi_mape_floor1_pct,runnable_status,note
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,1,forecasting,2.156859838836285,4.601636400940972,42.41108775573882,30.171722806683885,53.19228618984124,92.23896378440504,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,2.1791263051064242,4.635082832286612,42.73624086868329,31.192815445316324,62.416754883585874,93.37136054033628,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,2.1831212936664874,4.635146511356627,42.64248377656962,31.25058290103887,62.14142346930573,92.96167161218227,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,1,forecasting,2.183121291505942,4.635146498671759,42.64248362208766,31.250582994134486,62.14142725857976,92.96166678112884,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,1,forecasting,2.2243984789598463,4.705931652419846,43.48116528750038,31.67548641606741,61.33185910596706,97.44071740113604,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,1,forecasting,2.1830480169344644,4.6350947454931966,42.64245911703116,31.251034914152303,62.14274639934853,92.96752152222587,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
event_attention_only,Event-attention-only,event_only_baseline,1,forecasting,4.630498641297834,8.275741521079201,82.51935491381094,163.95347676593315,271.16875775139164,466.32640809356076,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
hawkes_only,Hawkes-only,event_only_baseline,1,forecasting,4.577931009217095,7.981373362051918,82.26095320614881,160.02110121658188,227.20840898836815,467.0437449925918,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
ridge_logistic,Ridge/Logistic,baseline,1,forecasting,2.2191360310171957,4.698356267300803,43.59932718678506,31.442610731180967,58.46261312724991,98.49085986454777,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,1,forecasting,2.2034168545383386,4.671156658711979,43.382006904552135,30.693126832269854,53.78854927477004,98.1797148760248,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,2.490444108225166,4.974368579542683,46.80693558417895,39.4850306817069,67.88850300956844,124.75680478517741,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,2.5353668646050123,5.07862386784857,47.27072329161204,42.18747874520919,103.46922801197236,125.86776319837654,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,2.53676108264019,5.082938366859887,47.162126460491756,42.158700018481376,102.72908468313751,125.31222435877645,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,2.5367610718021605,5.082938276165617,47.162126178261936,42.15870033818487,102.72908913731128,125.31222214697767,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,3.054862722072654,5.684027913241845,56.10561044259272,50.79875556930537,101.86528389899568,161.8930607713858,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,3,forecasting,2.5367309473402813,5.082903228427403,47.16244859481408,42.15853134079384,102.72980173986303,125.31675910266273,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
event_attention_only,Event-attention-only,event_only_baseline,3,forecasting,4.634633666574561,8.325636853654714,82.77637863745555,164.6452772062619,289.40130356240155,466.66278368644896,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
hawkes_only,Hawkes-only,event_only_baseline,3,forecasting,4.5809262631652565,8.038487809325183,82.51493224834206,159.7121929831709,227.2519978725336,466.87061671386596,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
ridge_logistic,Ridge/Logistic,baseline,3,forecasting,3.0709296352266517,5.68416339869507,56.381542022440264,50.71913424833748,93.62610120161756,163.5088355509566,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,3,forecasting,3.036113249845673,5.5858045214693,56.01457415461753,48.93538693214564,78.7454075614108,162.59101393202872,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,3.1446947701667414,5.6051736725553765,56.843142830102366,50.7870953271935,82.16491862874177,183.28180607412415,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,3.1904485593175256,5.864402568859186,57.28399594506425,54.45092988532843,133.8706501480968,183.66996609091865,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,3.19700466684475,5.852670239265109,57.263585140684846,54.401399347085466,132.26500065036794,185.28339166280432,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,3.197004694088823,5.8526703410420104,57.263584742526255,54.40139940023781,132.26500205946638,185.28338983127819,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,3.3630788285337534,6.052988261462501,61.59156628939228,65.45165182055655,131.98295140896144,234.38952898863187,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,6,forecasting,3.197055271029092,5.852714542730562,57.26377951956528,54.40039464373714,132.263576719651,185.2803085230852,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
event_attention_only,Event-attention-only,event_only_baseline,6,forecasting,4.6286813532279325,8.27688998860451,83.11703181423673,164.84985376781742,295.9309682386844,468.01833168494227,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
hawkes_only,Hawkes-only,event_only_baseline,6,forecasting,4.578480018552149,7.87346023617161,82.87068136313326,159.50171845893496,225.57204717800417,470.5357859289517,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
ridge_logistic,Ridge/Logistic,baseline,6,forecasting,3.3379574924309603,5.940216815213597,61.59041231642826,65.1004571444643,118.31712657469546,232.88818944857752,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,6,forecasting,3.317682598037564,5.88376405788334,61.27221280386902,62.62076453945257,97.57289692495937,231.68933822249923,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,2.5147421488540136,5.050755449901819,47.28302135514121,42.069895762311056,74.86364319731392,132.59929066463454,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,2.603973118573526,5.452831839768926,47.78326162438929,46.25468628377866,127.16820785259692,134.90700952975854,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,12,forecasting,2.6040699438305284,5.4420601076085555,47.68198028682617,46.45621797205323,126.08026779961892,136.30986332566295,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,12,forecasting,2.6040699459420242,5.442060029508175,47.68198043641702,46.45621828406565,126.08026647026536,136.30986579646128,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,12,forecasting,2.6796243591639914,5.547237309785081,49.061869871159274,47.863789787926144,124.7887711797066,140.56628179931332,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,12,forecasting,2.6040875918040305,5.442062712985392,47.68189188633293,46.45621257494944,126.08017775651236,136.30967695494732,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
event_attention_only,Event-attention-only,event_only_baseline,12,forecasting,4.671365090650989,8.621557757450255,83.34059404470463,164.92664127179472,287.02906105616734,464.79252521506993,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
hawkes_only,Hawkes-only,event_only_baseline,12,forecasting,4.571941684845478,7.88835084498236,83.06076602245945,160.6518836929227,238.14561402828855,469.889726539673,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
ridge_logistic,Ridge/Logistic,baseline,12,forecasting,2.6399514123527643,5.391291896107282,49.14025570241407,47.36536911376279,122.6165339980261,138.94833688391432,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,12,forecasting,2.592760925986124,5.134742739212652,48.80578227541611,43.29134229743493,76.88166957830434,135.93599091591636,run,MAPE uses denominator floor=1.0 because true KPI values include zeros or near-zeros.
